  -23.183, 0.00000128, 0.00000285, 0.00000608
  -23.020, 0.00000268, 0.00000528, 0.00001074
  -22.870, 0.00001251, 0.00001704, 0.00002625
  -22.698, 0.00002541, 0.00003460, 0.00004429
  -22.565, 0.00005840, 0.00008200, 0.00010498
  -22.411, 0.00010484, 0.00012233, 0.00014274
  -22.248, 0.00020642, 0.00024087, 0.00028109
  -22.096, 0.00028953, 0.00032756, 0.00037059
  -21.942, 0.00044534, 0.00050396, 0.00058810
  -21.793, 0.00079961, 0.00093293, 0.00102361
  -21.638, 0.00112138, 0.00126869, 0.00148051
  -21.484, 0.00152477, 0.00172528, 0.00198251
  -21.311, 0.00220537, 0.00257309, 0.00282300
  -21.176, 0.00290814, 0.00319059, 0.00360924
  -21.011, 0.00349514, 0.00383411, 0.00420649
  -20.857, 0.00433225, 0.00505589, 0.00554623
  -20.703, 0.00489636, 0.00553884, 0.00607679
  -20.560, 0.00570661, 0.00645622, 0.00708237
  -20.412, 0.00644885, 0.00729596, 0.00800356
  -20.241, 0.00774955, 0.00850221, 0.00932680
  -20.098, 0.00849250, 0.00960807, 0.01070377
  -19.934, 0.00822402, 0.00989658, 0.01085639
  -19.780, 0.00958370, 0.01084399, 0.01226845
  -19.634, 0.01050250, 0.01225522, 0.01344122
  -19.478, 0.01133031, 0.01301877, 0.01428139
  -19.308, 0.01185197, 0.01340883, 0.01564558
  -19.165, 0.01339352, 0.01562772, 0.01714554
  -19.006, 0.01297009, 0.01467570, 0.01712378
  -18.863, 0.01378168, 0.01511829, 0.01764020
  -18.698, 0.01557225, 0.01816989, 0.02055667
  -18.539, 0.01462362, 0.01654247, 0.01871548
  -18.407, 0.01331552, 0.01602356, 0.01869885
  -18.243, 0.01650680, 0.01867275, 0.02178758
  -18.089, 0.01753524, 0.02077842, 0.02539297
  -17.924, 0.01455323, 0.01698088, 0.02043436
  -17.765, 0.01545995, 0.01860412, 0.02171026
  -17.628, 0.01544426, 0.01976825, 0.02306582
  -17.466, 0.02099989, 0.02527074, 0.03041210
  -17.320, 0.02301024, 0.02768995, 0.03332562
  -17.166, 0.02444698, 0.03034075, 0.03765541
  -17.002, 0.01585155, 0.02158108, 0.02518106
  -16.848, 0.01847230, 0.02675334, 0.03219429
  -16.700, 0.01845355, 0.02756016, 0.03637709
  -16.557, 0.02588125, 0.03634016, 0.04947529
  -16.402, 0.04941878, 0.06727263, 0.09743059
  -16.232, 0.00587125, 0.01624997, 0.04229458
  -16.081, 0.03008754, 0.05751616, 0.11695557
